comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
A person was transported to UCMED for evaluation,Closed,Medical Transport,5500 S. University Ave. (Campus North RH),10/20/25 10:15 PM,,2025-10-20 22:15:00-05:00,2025-10-20,Fall,25-01372,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
A disorderly individual was counseled by UCPD officer / Peace restored,Closed,Information,5735 S. Ellis Ave. (Searle Lab),10/20/25 5:02 PM,Armed Robbery Arrest,2025-10-20 17:05:00-05:00,2025-10-20,Fall,25-01370,"5735 S Ellis Ave, Chicago, Il, 60637",[ 41.79073052 -87.60120831]
A licensed firearm was taken from a visitor and held at UCPD for safekeeping,Closed,Found Property,5721 S. Maryland Ave. (Comer Hospital),10/20/25 4:54 PM,,2025-10-20 16:54:00-05:00,2025-10-20,Fall,25-01369,"5721 S Maryland Ave, Chicago, Il, 60637",[ 41.79028249 -87.60486169]
"Wallet in unsecured, unattended purse was taken",Open,Theft,900 E. 57th St. (Knapp Center),10/17/25 8:00 AM to 2:15 PM,,2025-10-20 15:30:00-05:00,2025-10-20,Fall,25-01368,"900 E 57th St, Chicago, Il, 60637",[ 41.79142346 -87.60366292]
Window shattered in vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Criminal Damage to Vehicle,6108 S. Ingleside Ave. (Public Way),10/19/25 to 10/20/25 7:00 PM to 1:40 PM,,2025-10-20 13:43:00-05:00,2025-10-20,Fall,2025-056539,"6108 S Ingleside Ave, Chicago, Il, 60637",[ 41.78391935 -87.60283948]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),10/20/25 12:40 PM,,2025-10-20 12:44:00-05:00,2025-10-20,Fall,2025-056532,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1346 E. 53rd St. (Target),10/20/25 10:00 AM,,2025-10-20 10:04:00-05:00,2025-10-20,Fall,2025-056512,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282]
An unknown subject riding a Divvy bike snatched a bag from the hand of a person standing on the sidewalk off-campus / Referred to CPD,Referred,Information / Theft,6106 S. University Ave. (Public Way),10/17/25 1:50 PM,,2025-10-20 09:54:00-05:00,2025-10-20,Fall,2025-056508,"6106 S University Ave, Chicago, Il, 60637",[ 41.783985   -87.59798064]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),10/20/25 7:40 AM,,2025-10-20 07:41:00-05:00,2025-10-20,Fall,2025-056485,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
A person reported harassing emails from a known person,Open,Harassment by Electronic Means,850 E. 61st St. (UCPD HQ),10/19/25 12:50 PM,,2025-10-19 14:50:00-05:00,2025-10-19,Fall,25-01367,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
Wallet taken from patient's property,Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),10/17/25 to 10/19/25 6:00 PM to 1:00 PM,,2025-10-19 13:20:00-05:00,2025-10-19,Fall,25-01366,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
UCPD responded to a call of an unknown subject creating a disturbance inside of the off-campus store / Subject fled before police arrived,Closed,Information / Disorderly Conduct,1554 E. 55th St. (Walgreens),10/19/25 7:40 AM,,2025-10-19 07:45:00-05:00,2025-10-19,Fall,2025-056316,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
A person was transported to UCMED by CFD EMS for evaluation,Closed,Medical Transport,1554 E. 55th St. (S. Hyde Park Blvd. Shopping Center),10/19/25 4:02 AM,,2025-10-19 04:02:00-05:00,2025-10-19,Fall,25-01365,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
A suspicious person was reported loitering outside of the building / UCPD responded,Closed,Information,5500 S. University Ave. (Campus North RH),10/19/25 1:50 AM,,2025-10-19 01:55:00-05:00,2025-10-19,Fall,25-01364,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
Clothes taken from laundry room,Open,Theft,1156 E. 61st St. (S. Woodlawn Ave. RC),10/18/25 8:45 PM to 9:30 PM,,2025-10-18 21:53:00-05:00,2025-10-18,Fall,25-01363,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ]
A person in need of medical attention was transported to UCMED by CFD EMS,Closed,Medical Call,5550 S. Greenwood Ave. (Smart Museum),10/18/25 4:52 PM,,2025-10-18 16:53:00-05:00,2025-10-18,Fall,25-01362,"5550 S Greenwood Ave, Chicago, Il, 60637",[ 41.79411116 -87.59983537]
A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD,Arrest,Theft,1554 E. 55th St. (Walgreens),10/18/25 3:01 PM,,2025-10-18 15:08:00-05:00,2025-10-18,Fall,25-01361,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
Victim reported loss of funds when involved in a social media con game,Open,Deceptive Practice / Con Game,850 E. 61st St. (UCPD HQ),10/18/25 1:28 PM,,2025-10-18 13:34:00-05:00,2025-10-18,Fall,25-01360,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
"Unattended, unsecured laptop taken",Open,Theft,1100 E. 57th St. (Regenstein Library),10/17/25 to 10/18/25 4:00 PM to 10:30 AM,,2025-10-18 12:45:00-05:00,2025-10-18,Fall,25-01359,"1100 E 57th St, Chicago, Il, 60637",[ 41.79148537 -87.59815254]
Ongoing dispute between co-workers documented,Open,Disorderly Conduct,5837 S. Maryland Ave. (Mitchell Hospital),3/25/25 to 10/2/25 11:45 PM to 11:30 PM,,2025-10-18 08:54:00-05:00,2025-10-18,Fall,25-01358,"5837 S Maryland Ave, Chicago, Il, 60637",[ 41.78884314 -87.6048599 ]
An unknown subject unlawfully entered an off-campus residence and took property / Referred to CPD,Referred,Information / Burglary,E. 54th St. between S. Greenwood Ave. and S. University Ave.,10/18/25 12:30 AM to 5:30 AM,,2025-10-18 06:09:00-05:00,2025-10-18,Fall,2025-056107,"5405 S Greenwood Ave, Chicago, Il 60615",[ 41.7977273 -87.5993795]
Two acquaintances involved in a physical altercation on the sidewalk off-campus / Peace restored,Closed,Battery,1450 E. 55th St. (Public Way),10/18/25 2:00 AM,,2025-10-18 02:05:00-05:00,2025-10-18,Fall,25-01357,"1450 E 55th St, Chicago, Il, 60615",[ 41.79558145 -87.59007722]
An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,5429 S. Greenwood Ave. (Public Way),10/18/25 1:41 AM,,2025-10-18 01:41:00-05:00,2025-10-18,Fall,25-01356,"5429 S Greenwood Ave, Chicago, Il, 60615",[ 41.79757843 -87.59962409]
An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,1100 E. 58th St. (Main Quad),10/18/25 12:12 AM,,2025-10-18 00:13:00-05:00,2025-10-18,Fall,25-01355,"1100 W 58th St, Chicago, Il, 60621",[ 41.78877746 -87.6535956 ]
"During the course of a domestic dispute, boyfriend struck girlfriend / Suspect arrested by UCPD",Arrest,Domestic Battery,4710 S. Greenwood Ave. (Public Way),10/17/25 8:52 PM,,2025-10-17 20:52:00-05:00,2025-10-17,Fall,25-01354,"4710 S Greenwood Ave, Chicago, Il, 60615",[ 41.80920871 -87.59933386]
A rideshare vehicle ran over passenger's foot,Closed,Traffic Crash / Minor Injury,809 E. 54th St. (Public Way),10/17/25 8:33 PM,,2025-10-17 20:48:00-05:00,2025-10-17,Fall,25-01353,"809 E 54th St, Chicago, Il, 60615",[ 41.79674486 -87.60577308]
Car keys found and turned over to UCPD for safekeeping,Closed,Found Property,"1362 E. 59th St. St, (Public Way)",10/17/25 3:23 PM,,2025-10-17 15:23:00-05:00,2025-10-17,Fall,25-01352,"1362 E 59th St, Chicago, Il, 60637",[ 41.78789688 -87.59272762]
A subject was transported to UCMED by CFD EMS for evaluation,Closed,Medical Transport,1400 E. Midway Plaisance),10/17/25 1:37 PM,,2025-10-17 13:37:00-05:00,2025-10-17,Fall,25-01351,"1400 East Midway Plaisance, Chicago, Il 60637",[ 41.7872049 -87.5990833]
Found keys were turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),10/17/25 1:25 PM,,2025-10-17 13:32:00-05:00,2025-10-17,Fall,25-01350,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
"An unknown subject, without provocation, struck victim with his fist and walked off",Open,Battery,5500 S. Ellis Ave. (Public Way),10/17/25 12:09 AM,,2025-10-17 12:01:00-05:00,2025-10-17,Fall,25-01348,"5500 S Ellis Ave, Chicago, Il, 60637",[ 41.79498535 -87.60141279]
A vehicle sideswiped another vehicle and drove off,Open,Traffic Crash / Minor Personal Injury / Hit and Run,5800 S. Ellis Ave. (Public Way),10/17/25 10:10 AM,,2025-10-17 10:44:00-05:00,2025-10-17,Fall,25-01349,"5800 S Ellis Ave, Chicago, Il, 60637",[ 41.78955247 -87.60133695]
Two backpacks left unattended and unsecured were taken,Open,Theft,5640 S. University Ave. (Bartlett Commons),10/17/25 9:10 AM,,2025-10-17 09:52:00-05:00,2025-10-17,Fall,25-01347,"5640 S University Ave, Chicago, Il, 60637",[ 41.79249355 -87.59817745]
A person became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,5500 S. University Ave. (Campus North RH),10/17/25 3:09 AM,,2025-10-17 03:05:00-05:00,2025-10-17,Fall,25-01346,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
A person stuck in elevator was freed by CFD,Closed,Elevator Entrapment,1201 E. 60th St. (Rubenstein Forum),10/16/25 9:24 PM,,2025-10-16 21:29:00-05:00,2025-10-16,Fall,25-01344,"1201 E 60th St, Chicago, Il, 60637",[ 41.78596907 -87.59623991]
A subject was transported to Provident Hospital for evaluation,Closed,Medical Transport,5100 S. Lake Park Ave. (Public Way),10/16/25 9:27 PM,,2025-10-16 21:27:00-05:00,2025-10-16,Fall,25-01345,"5100 S Lake Park Ave, Chicago, Il, 60615",[ 41.80240432 -87.58791872]
Two victims were solicited for contributions via their cell phones / Contributions were inflated by three unknown suspects,Open,Deceptive Practice / Confidence Game,5800 S. Kimbark Ave. (Public Way),10/16/25 4:05 PM,,2025-10-16 16:13:00-05:00,2025-10-16,Fall,25-01343,"5800 S Kimbark Ave, Chicago, Il, 60637",[ 41.78957981 -87.59486917]
Forged check scheme documented,Open,Deceptive Practice / Forgery,6030 S. Ellis Ave. (Edelstone Hall),9/8/25 to 9/12/25 10:00 AM to 5:00 PM,,2025-10-16 14:23:00-05:00,2025-10-16,Fall,25-01342,"6030 S Ellis Ave, Chicago, Il, 60637",[ 41.78535036 -87.60125539]
Secured bicycle taken from bike rack,Open,Theft,1414 E. 59th St. (I-House Bike Rack),10/11/25 to 10/12/25 6:00 PM to 12:00 PM,,2025-10-16 13:51:00-05:00,2025-10-16,Fall,25-01341,"1414 E 59th St, Chicago, Il, 60637",[ 41.78791518 -87.59109314]
Damage to equipment documented,Closed,Non-Criminal Property Damage,850 E. 61st St. (UCPD HQ),10/16/25 7:24 AM,,2025-10-16 07:24:00-05:00,2025-10-16,Fall,25-01340,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A UCM staff member found suspect narcotics in the possession of a patient and turned the contraband over to UCPD for proper disposal,Closed,Found Narcotic,5700 S. Maryland Ave. (CCD),10/16/25 3:00 AM,,2025-10-16 03:18:00-05:00,2025-10-16,Fall,25-01339,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
A secured electric scooter taken from bike rack,Open,Theft,1100 E. 57th St. (Regenstein Library Bike Rack),10/15/25 1:45 PM to 7:05 PM,,2025-10-15 19:16:00-05:00,2025-10-15,Fall,25-01337,"1100 E 57th St, Chicago, Il, 60637",[ 41.79148537 -87.59815254]
"A subject, without provocation, threatened two victims walking on the sidewalk off-campus / Arrested by UCPD",Arrest,Assault,1535 E. 56th St. (Public Way),10/15/25 3:40 PM,,2025-10-15 15:42:00-05:00,2025-10-15,Fall,25-01336,"1535 E 56th St, Chicago, Il, 60637",[ 41.79329786 -87.58823384]
Victim and visitor involved in verbal dispute that became physical / Victim declined to press charges,Ex. Cleared,Battery,5700 S. Maryland Ave. (CCD),10/15/25 1:56 PM,,2025-10-15 13:58:00-05:00,2025-10-15,Fall,25-01335,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Wallet was taken,Open,Theft,1055 E. 55th St. (Roux),10/15/25 10:00 AM to 10:40 AM,,2025-10-15 13:27:00-05:00,2025-10-15,Fall,25-01334,"1055 E 55th St, Chicago, Il, 60615",[ 41.7949637  -87.60047086]
Person reported lost wallet,Closed,Lost Property,970 E. 58th St. (UC Bookstore),10/8/25 to 10/9/25 2:00 PM to 9:00 AM,,2025-10-15 09:25:00-05:00,2025-10-15,Fall,25-01333,"970 E 58th St, Chicago, Il, 60637",[ 41.78958698 -87.60472689]
Bicycle taken from rear yard / Referred to CPD,Referred,Information / Theft,917 E. 54th Pl.,10/14/25 5:00 PM,,2025-10-15 08:26:00-05:00,2025-10-15,Fall,2025-055330,"917 E 54th Pl, Chicago, Il, 60615",[ 41.79640859 -87.60298307]
A motorist physically resisted a UCPD officer subsequent to a traffic stop / Suspect charged with felony,Arrest,Battery / Resisting Arrest,6131 S. Ellis Ave. (Public Way),10/15/25 4:52 AM,,2025-10-15 04:52:00-05:00,2025-10-15,Fall,25-01332,"6131 S Ellis Ave, Chicago, Il, 60637",[ 41.78352879 -87.60105753]
"Subsequent to a verbal altercation, one person damaged victim's laptop / Victim declined filing charges",Ex Cleared,Damage to Property,5700 S. Maryland Ave. (CCD),10/14/25 7:44 PM,,2025-10-14 19:46:00-05:00,2025-10-14,Fall,25-01330,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Person reported a lost passport,Closed,Lost Property,850 E. 61st St. (UCPD HQ),10/10/25 to 10/13/25 5:00 PM to 3:00 PM,,2025-10-14 13:33:00-05:00,2025-10-14,Fall,25-01329,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A vehicle struck a water pipe,Closed,Non-Criminal Property Damage,5656 S. Maryland Ave. (Parking Structure),10/14/25 10:20 AM,,2025-10-14 10:20:00-05:00,2025-10-14,Fall,25-01328,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Credit card found and turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),10/13/25 2:30 PM,,2025-10-13 16:45:00-05:00,2025-10-13,Fall,25-01327,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
Window smashed in vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Criminal Damage to Vehicle,5611 S. Blackstone Ave. (Public Way),10/11/25 time unknown,,2025-10-13 14:40:00-05:00,2025-10-13,Fall,2025-054894,"5611 S Blackstone Ave, Chicago, Il, 60637",[ 41.7931062  -87.59021563]
iPhone found on UC Shuttle Bus turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),10/13/25 9:37 AM,,2025-10-13 09:37:00-05:00,2025-10-13,Fall,25-01326,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A 2025 Honda CRV was taken from the street off-campus / Referred to CPD,Referred,Information / Motor Vehicle Theft,1605 E. 50th St. (Public Way),10/12/25 to 10/13/25 8:30 PM to 7:35 AM,,2025-10-13 08:15:00-05:00,2025-10-13,Fall,2025-054825,"1605 E 50th St, Chicago, Il, 60615",[ 41.8042966  -87.58625501]
A victim suffered gunshot wounds on the street off-campus / Suspect was taken into custody by CPD officers / CPD case JJ449689,CPD,Information / Aggravated Battery,5140 S. Hyde Park Blvd. (Public Way),10/13/25 7:55 AM,,2025-10-13 08:03:00-05:00,2025-10-13,Fall,2025-054819,"5140 S Hyde Park Blvd, Chicago, Il, 60615",[ 41.80174014 -87.58494397]
An unknown subject took merchandise from the off-campus store without paying / CPD case JJ449677,CPD,Information / Theft,1346 E. 53rd St. (Target),10/13/25 7:25 AM,,2025-10-13 07:27:00-05:00,2025-10-13,Fall,2025-054812,"1346 E 53rd St, Chicago, Il, 60615",[ 41.79955044 -87.59306282]
UCPD officers arrested a subject for unlawful possession of a handgun,Arrest,Unlawful Possession of a Firearm,5120 S. Harper Ave. (Public Way),10/12/25 10:43 PM,,2025-10-12 22:43:00-05:00,2025-10-12,Fall,25-01325,"5120 S Harper Ave, Chicago, Il, 60615",[ 41.80109184 -87.58918107]
A person in need of medical attention was transported to UCMED by CFD EMS,Closed,Medical Call,1005 E. 60th St. (Burton-Judson RH),10/12/25 7:26 PM,,2025-10-12 19:28:00-05:00,2025-10-12,Fall,25-01324,"1005 E 60th St, Chicago, Il, 60637",[ 41.78587286 -87.60103446]
During the course of a disagreement one person struck the other and fled,Open,Battery,5721 S. Maryland Ave. (Comer Hospital),10/12/25 1:00 PM,,2025-10-12 17:18:00-05:00,2025-10-12,Fall,25-01323,"5721 S Maryland Ave, Chicago, Il, 60637",[ 41.79028249 -87.60486169]
A verbal altercation became physical / Peace restored,Closed,Battery,6300 S. University Ave. (S. Woodlawn Ave. Charter School),10/12/25 5:05 PM,,2025-10-12 17:10:00-05:00,2025-10-12,Fall,25-01322,"6300 S University Ave, Chicago, Il, 60637",[ 41.78045408 -87.59732204]
"Tires slashed, vehicle body keyed while parked on the street",Open,Criminal Damage to Vehicle,5700 S. Drexel Ave. (Public Way),10/11/25  to 10/12/25 11:00 PM to 2:35 PM,,2025-10-12 14:45:00-05:00,2025-10-12,Fall,25-01321,"5700 S Drexel Ave, Chicago, Il, 60637",[ 41.79130835 -87.60381591]
UCPD officers recovered a motorcycle that had been reported stolen A stolen firearm was also recovered at the scene,Closed,Recovered Vehicle,5125 S. Kenwood Ave. (Alley),10/11/25 8:28 PM,,2025-10-11 20:28:00-05:00,2025-10-11,Fall,25-01319,"5125 S Kenwood Ave, Chicago, Il, 60615",[ 41.80201942 -87.59338698]
A parked and secured 2025 Honda SUV taken by unknown person,Open,Motor Vehicle Theft,936 E. 60th St. (Public Way),10/11/25 3:30 PM,,2025-10-11 19:03:00-05:00,2025-10-11,Fall,25-01318,"936 E 60th St, Chicago, Il, 60637",[ 41.78596513 -87.60296103]
A traffic violator was arrested for an active warrant from Cook County Sheriff's Police,Arrest,Warrant Arrest,1623 E. 53rd St. (Public Way),10/11/25 5:30 PM,,2025-10-11 17:30:00-05:00,2025-10-11,Fall,25-01317,"1623 E 53rd St, Chicago, Il, 60615",[ 41.79953486 -87.5853739 ]
A known person spit on another person during the course of a disagreement on the street off-campus / Referred to CPD,Referred,Information / Battery,5415 S. Woodlawn Ave. (Public Way),10/11/25 12:30 AM,,2025-10-11 17:15:00-05:00,2025-10-11,Fall,2025-054458,"5415 S Woodlawn Ave, Chicago, Il, 60615",[ 41.79740279 -87.5965202 ]
"A known person took victim's unsecured, unattended electric bike / Victim chased the suspect and recovered his bike / Suspect fled on foot",Closed,Theft,6031 S. Ellis Ave. (Public Way),10/11/25 2:17 PM,,2025-10-11 14:17:00-05:00,2025-10-11,Fall,25-01320,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
Credit cards fund and turned over to UCPD for safekeeping,Closed,Found Property,970 E. 58th St. (Bookstore),10/11/25 11:44 AM,,2025-10-11 11:44:00-05:00,2025-10-11,Fall,25-01315,"970 E 58th St, Chicago, Il, 60637",[ 41.78958698 -87.60472689]
An unknown person took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),10/11/25 10:47 AM,,2025-10-11 10:57:00-05:00,2025-10-11,Fall,2025-054399,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
Two subjects attempting to steal a catalytic converter from a parked vehicle pointed a handgun at a person on the street off-campus before fleeing / CPD case JJ447601,CPD,Information / Aggravated Assault / Attempted Theft from Motor Vehicle,1435 E. Hyde Park Blvd. (Public Way),10/11/25 6:23 AM,,2025-10-11 06:26:00-05:00,2025-10-11,Fall,2025-054360,"1435 E Hyde Park Blvd, Chicago, Il, 60615",[ 41.80237886 -87.59042841]
A motorist committed several traffic violations and fled from police / Suspect charged with felony,Arrest,Traffic Violation Arrest,5400 S. Kimbark Ave. (Public Way),10/11/25 2:17 AM,,2025-10-11 02:17:00-05:00,2025-10-11,Fall,25-01314,"5400 S Kimbark Ave, Chicago, Il, 60615",[ 41.79795014 -87.59506765]
A person reported losing their phone on a UC Connector Bus,Closed,Lost Property,5850 S. Woodlawn Ave.,10/10/25 5:53 PM,,2025-10-10 17:53:00-05:00,2025-10-10,Fall,25-01313,"5850 S Woodlawn Ave, Chicago, Il, 60637",[ 41.78869292 -87.59647028]
"A patient, fully licensed, had possession of a firearm upon arrival / Weapon secured by UCPD",Closed,Information,5656 S. Maryland Ave. (UCMED),10/10/25 2:33 PM,,2025-10-10 14:33:00-05:00,2025-10-10,Fall,25-01311,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Window smashed on truck parked on the street,Open,Criminal Damage to Vehicle,1174 E. 57th St. (Public Way),10/10/25 6:00 AM to 12:30 PM,,2025-10-10 12:35:00-05:00,2025-10-10,Fall,25-01310,"1174 E 57th St, Chicago, Il, 60637",[ 41.79149096 -87.59751046]
A temporary contract employee was escorted off-campus at the request of employer,Closed,Information,5500 S. University Ave. (Campus North RH),10/10/25 12:21 PM,,2025-10-10 12:21:00-05:00,2025-10-10,Fall,25-01309,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
Rideshare driver found jacket in vehicle / Owner contacted,Closed,Found Property,850 E. 61st St. (UCPD HQ),10/10/25 12:00 PM,,2025-10-10 12:15:00-05:00,2025-10-10,Fall,25-01312,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
UCPD officer detained the driver of a vehicle that had been reported stolen by a leasing service / Owner declined to sign charges / Motorist released after being issued traffic citations,Closed,Recovered Vehicle,5100 S. Dorchester Ave. (Public Way),10/10/25 9:19 AM,,2025-10-10 09:19:00-05:00,2025-10-10,Fall,25-01308,"5100 S Dorchester Ave, Chicago, Il, 60615",[ 41.8023602  -87.59192673]
An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,1156 E. 61st St. (S. Woodlawn Ave. RC),10/10/25 2:02 AM,,2025-10-10 02:02:00-05:00,2025-10-10,Fall,25-01307,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ]
An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,6031 S. Ellis Ave. (Granville-Grossman RH),10/10/25 12:18 AM,,2025-10-10 00:18:00-05:00,2025-10-10,Fall,25-01306,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
Two students involved in physical altercation / Parents declined charges / Administration to handle discipline,Ex. Cleared,Battery,6300 S. University Ave. (S. Woodlawn Ave. Charter School),10/9/25 4:00 PM,,2025-10-09 16:16:00-05:00,2025-10-09,Fall,25-01305,"6300 S University Ave, Chicago, Il, 60637",[ 41.78045408 -87.59732204]
Apple AirPods taken by unknown person,Open,Theft,5706 S. University Ave. (Reynolds Club),10/3/25 3:00 PM to 5:30 PM,,2025-10-09 11:02:00-05:00,2025-10-09,Fall,25-01304,"5706 S University Ave, Chicago, Il, 60637",[ 41.79126654 -87.59814716]
One vehicle struck another vehicle in traffic and drove off from the scene,Open,Traffic Crash / Minor Personal Injury / Hit and Run,6100 S. Drexel Ave. (Public Way),10/9/25 7:23 AM,,2025-10-09 07:25:00-05:00,2025-10-09,Fall,25-01303,"6100 S Drexel Ave, Chicago, Il, 60637",[ 41.78311745 -87.60444617]
A person in need of medical attention was transported to UCMED by CFD EMS,Closed,Medical Call,1414 E. 59th St. (Public Way),10/9/25 4:01 AM,,2025-10-09 04:01:00-05:00,2025-10-09,Fall,25-01302,"1414 E 59th St, Chicago, Il, 60637",[ 41.78791518 -87.59109314]
A UCPD officer arrested a motorist for DUI,Arrest,DUI,1100 E. 53rd St. (Public Way),10/9/25 3:07 AM,,2025-10-09 03:07:00-05:00,2025-10-09,Fall,25-01301,"1100 E 53rd St, Chicago, Il, 60615",[ 41.79948064 -87.59966545]
An underage person became ill after consuming alcoholic beverages / Refused CFD transport,Referred,Liquor Law Violation,5500 S. University Ave. (CNRH),10/9/25 1:32 AM,,2025-10-09 01:32:00-05:00,2025-10-09,Fall,25-01300,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
Suspicious activity documented,Closed,Suspicious Person,5717 S. Woodlawn Ave. (Hillel House),10/8/25 12:30 PM to 3:00 PM,,2025-10-08 21:01:00-05:00,2025-10-08,Fall,25-01299,"5717 S Woodlawn Ave, Chicago, Il, 60637",[ 41.7909689 -87.5963702]
A patient arrived with a firearm / Patient was licensed and UCPD secured the firearm for safekeeping,Closed,Information,5721 S. Maryland Ave. (Comer Hospital),10/8/25 7:24 PM,,2025-10-08 19:24:00-05:00,2025-10-08,Fall,25-01298,"5721 S Maryland Ave, Chicago, Il, 60637",[ 41.79028249 -87.60486169]
A verbal disagreement turned physical and one party struck the other / Victim declined to prosecute / Peace restored,Ex. Cleared,Battery,5700 S. Maryland Ave. (CCD),10/8/25 2:28 PM,,2025-10-08 14:32:00-05:00,2025-10-08,Fall,25-01297,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Cell phone found in a ride share vehicle was turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),10/8/25 1:11 PM,,2025-10-08 13:33:00-05:00,2025-10-08,Fall,25-01296,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
Verbal domestic argument documented,Closed,Information,5721 S. Maryland Ave. (Public Way),10/8/25 10:00 AM,,2025-10-08 10:12:00-05:00,2025-10-08,Fall,25-01295,"5721 S Maryland Ave, Chicago, Il, 60637",[ 41.79028249 -87.60486169]
A 2008 Honda was taken from the street off-campus,Closed,Motor Vehicle Theft,5330 S. Kimbark Ave. (Public Way),10/8/25 6:35 AM,,2025-10-08 06:38:00-05:00,2025-10-08,Fall,25-01331,"5330 S Kimbark Ave, Chicago, Il, 60615",[ 41.79874686 -87.59508475]
UCPD officers located and detained a suspect wanted by CPD / Subject turned over to and arrested by CPD,CPD,Assist Other Agency,5525 S. Cottage Grove Ave. (Public Way),10/8/25 3:25 AM,,2025-10-08 03:27:00-05:00,2025-10-08,Fall,25-01294,"5525 S Cottage Grove Ave, Chicago, Il, 60637",[ 41.79449488 -87.60614011]
A person was entrapped in an elevator / CFD arrived and freed the occupant,Closed,Information,1156 E. 61st St. (S. Woodlawn Ave. R.C.),10/8/25 12:03 AM,,2025-10-08 00:05:00-05:00,2025-10-08,Fall,25-01292,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ]
Small amount of Allyl Methacrylate spilled from a syringe into person's eye / Self transported to UCMED / Research Safety on Scene,Closed,Chemical Spill / Medical Call,5735 S. Ellis Ave. (Searle Lab),10/7/25 10:00 PM,,2025-10-07 22:01:00-05:00,2025-10-07,Fall,25-01291,"5735 S Ellis Ave, Chicago, Il, 60637",[ 41.79073052 -87.60120831]
